sep=,
DeviceTag:,Right Foot
FirmwareVersion:,2.4.0
AppVersion:,2022.0.0
StartTime: ,2023-06-27_13:37:05_000 CEST
© Xsens Technologies B. V. 2005-2023

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
0,1951154666,-0.12489388883114,-0.28903886675835,-116.49170684814453,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000
1,1951162999,-0.12489434331656,-0.28862118721008,-116.49205017089844,0.01586787588894,-0.02904129587114,9.52377700805664,-0.62421888113022,3.58795213699341,0.27744054794312
2,1951171332,-0.12448689341545,-0.28817832469940,-116.49177551269531,0.03727742657065,-0.01231534779072,9.47715377807617,-0.57624340057373,3.60109186172485,0.34688070416451
3,1951179665,-0.12465893477201,-0.28827148675919,-116.49212646484375,0.00651332829148,-0.02270788885653,9.54082679748535,-0.64581167697906,3.52565860748291,0.26878297328949
4,1951187998,-0.12523972988129,-0.28764492273331,-116.49196624755859,0.03756548464298,-0.00674728909507,9.48969268798828,-0.69637411832809,3.62276172637939,0.33133292198181
5,1951196331,-0.12589706480503,-0.28765973448753,-116.49151611328125,0.02284849807620,-0.04124597460032,9.51979541778564,-0.70211184024811,3.53613471984863,0.37956455349922
6,1951204664,-0.12562432885170,-0.28694310784340,-116.49179077148438,0.04232031852007,-0.02206338383257,9.50910568237305,-0.59391719102859,3.63367295265198,0.28184619545937
7,1951212997,-0.12544888257980,-0.28717869520187,-116.49163818359375,0.02050440758467,-0.02670373953879,9.49025249481201,-0.60285669565201,3.50954747200012,0.33745476603508
8,1951221330,-0.12573142349720,-0.28727930784225,-116.49111938476562,0.02307048067451,-0.04046529158950,9.53814125061035,-0.65992516279221,3.53564834594727,0.37536382675171
9,1951229663,-0.12571926414967,-0.28722715377808,-116.49110412597656,0.03391002118587,-0.03607868030667,9.48500442504883,-0.62286138534546,3.54399871826172,0.32288026809692
10,1951237996,-0.12584604322910,-0.28737211227417,-116.49124145507812,0.01652187108994,-0.02019089460373,9.48738479614258,-0.64056080579758,3.53062796592712,0.29465338587761
11,1951246329,-0.12543359398842,-0.28798174858093,-116.49155426025391,0.01950072497129,-0.02829993516207,9.49249076843262,-0.57524454593658,3.46487617492676,0.27639040350914
12,1951254662,-0.12592720985413,-0.28740233182907,-116.49150085449219,0.02717966586351,-0.02616447024047,9.52550411224365,-0.68625640869141,3.61763882637024,0.31811594963074
13,1951262995,-0.12604948878288,-0.28753465414047,-116.49153137207031,0.03608453273773,-0.04669864475727,9.47156429290771,-0.63730782270432,3.52168869972229,0.31778302788734
14,1951271328,-0.12516000866890,-0.28745907545090,-116.49118804931641,0.01494959089905,-0.03362107649446,9.49996471405029,-0.51904690265656,3.55593490600586,0.35392469167709
15,1951279661,-0.12468752264977,-0.28801923990250,-116.49163818359375,0.01122570596635,-0.01600578986108,9.49523544311523,-0.56812375783920,3.47232985496521,0.25787132978439
16,1951287994,-0.12492705881596,-0.28820997476578,-116.49151611328125,0.00987354107201,-0.02068013139069,9.51797485351562,-0.65541702508926,3.52555608749390,0.32608202099800
17,1951296327,-0.12474581599236,-0.28765133023262,-116.49193572998047,0.02549928054214,-0.02226603962481,9.49784469604492,-0.60280537605286,3.60565185546875,0.27137002348900
18,1951304660,-0.12462727725506,-0.28844228386879,-116.49212646484375,0.01019633095711,-0.03283150866628,9.52412509918213,-0.61220592260361,3.45255589485168,0.28817299008369
19,1951312993,-0.12529848515987,-0.28893479704857,-116.49243164062500,0.03116487711668,-0.02668310888112,9.47036170959473,-0.70436590909958,3.47719669342041,0.28018131852150
20,1951321326,-0.12549313902855,-0.28905710577965,-116.49296569824219,0.03475346416235,-0.04623265564442,9.48810291290283,-0.64955145120621,3.53357315063477,0.24946986138821
21,1951329659,-0.12586736679077,-0.28972458839417,-116.49257659912109,0.01801458746195,-0.03665241599083,9.49885654449463,-0.66894137859344,3.45729446411133,0.35881704092026
22,1951337992,-0.12593811750412,-0.28950756788254,-116.49241638183594,0.01691834628582,-0.02233094163239,9.49517345428467,-0.63405466079712,3.57427382469177,0.33243426680565
23,1951346325,-0.12641090154648,-0.28969833254814,-116.49255371093750,0.03273129835725,-0.02350609190762,9.44995594024658,-0.68118500709534,3.51423478126526,0.29700988531113
24,1951354658,-0.12566258013248,-0.28951212763786,-116.49256896972656,0.03046419657767,-0.04209125414491,9.49669742584229,-0.53679746389389,3.57043218612671,0.31173801422119
25,1951362991,-0.12628914415836,-0.28973114490509,-116.49198150634766,0.01974374242127,-0.03046936728060,9.49965858459473,-0.69960165023804,3.51216006278992,0.38960537314415
26,1951371324,-0.12613141536713,-0.28994697332382,-116.49148559570312,0.03869896382093,-0.02051579393446,9.49161434173584,-0.60672444105148,3.52281570434570,0.37218764424324
27,1951379657,-0.12623675167561,-0.28932797908783,-116.49221038818359,0.02296818047762,-0.01501065399498,9.52626132965088,-0.63746148347855,3.61238813400269,0.23020792007446
28,1951387990,-0.12639254331589,-0.28965371847153,-116.49240112304688,0.02057098411024,-0.03019216284156,9.52816200256348,-0.64488959312439,3.50918841362000,0.28963294625282
29,1951396323,-0.12631867825985,-0.28991872072220,-116.49174499511719,0.03542828559875,-0.02057451009750,9.50903892517090,-0.61510032415390,3.50455260276794,0.39882647991180
30,1951404656,-0.12700690329075,-0.29043346643448,-116.49198913574219,0.02877075597644,0.00050386780640,9.49333095550537,-0.70848977565765,3.48736500740051,0.28118023276329
31,1951412989,-0.12669138610363,-0.28960889577866,-116.49185180664062,0.01079547591507,-0.01760128140450,9.50934886932373,-0.58623296022415,3.63587665557861,0.33643016219139
32,1951421322,-0.12619298696518,-0.29002413153648,-116.49255371093750,0.02161853387952,-0.03126575052738,9.51773357391357,-0.56697112321854,3.49802112579346,0.22705742716789
33,1951429655,-0.12643352150917,-0.28968283534050,-116.49257659912109,0.01198255270720,-0.02812096290290,9.51188087463379,-0.65277868509293,3.57773160934448,0.31040605902672
34,1951437988,-0.12685354053974,-0.28971043229103,-116.49276733398438,0.01537825167179,-0.00786923244596,9.49003219604492,-0.67657446861267,3.54584288597107,0.28894141316414
35,1951446321,-0.12658210098743,-0.28944221138954,-116.49245452880859,0.01722965389490,-0.02267261594534,9.50306987762451,-0.59081798791885,3.56876754760742,0.35646054148674
36,1951454654,-0.12640768289566,-0.28910106420517,-116.49333190917969,0.02368226647377,-0.02139911241829,9.50303459167480,-0.60600703954697,3.58861780166626,0.20856387913227
37,1951462987,-0.12690971791744,-0.28928697109222,-116.49274444580078,0.02407662384212,-0.01945196650922,9.50279903411865,-0.68425869941711,3.51615595817566,0.38937482237816
38,1951471320,-0.12743866443634,-0.28918930888176,-116.49281311035156,0.02933600544930,-0.03054055385292,9.49731445312500,-0.68892043828964,3.55967426300049,0.30592361092567
39,1951479653,-0.12777699530125,-0.28866717219353,-116.49260711669922,0.02618325874209,-0.01201509777457,9.51413822174072,-0.66556018590927,3.60014414787292,0.33258798718452
40,1951487986,-0.12698972225189,-0.28815126419067,-116.49269104003906,0.02540270052850,-0.03248427063227,9.54422187805176,-0.53172588348389,3.60962176322937,0.30474531650543
41,1951496319,-0.12695442140102,-0.28728246688843,-116.49365997314453,0.01955720037222,-0.02865180745721,9.53777599334717,-0.62147819995880,3.64176774024963,0.20039296150208
42,1951504652,-0.12643335759640,-0.28734716773033,-116.49400329589844,0.03997549042106,-0.02423039078712,9.49974155426025,-0.56300091743469,3.54007959365845,0.27326548099518
43,1951512985,-0.12642309069633,-0.28691107034683,-116.49420166015625,0.01478382665664,-0.03283660486341,9.48333549499512,-0.62270766496658,3.58938646316528,0.28899258375168
44,1951521318,-0.12701657414436,-0.28732785582542,-116.49433135986328,0.00598518457264,-0.03232557699084,9.49941825866699,-0.69760370254517,3.49886631965637,0.29729163646698
45,1951529651,-0.12671957910061,-0.28722843527794,-116.49491882324219,0.04004127532244,-0.02052421309054,9.49876880645752,-0.58912742137909,3.54978752136230,0.24798424541950
