sep=,
DeviceTag:,Right Foot
FirmwareVersion:,2.4.0
AppVersion:,2022.0.0
StartTime: ,2023-06-27_13:37:39_000 CEST
© Xsens Technologies B. V. 2005-2023

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
0,1985394963,-0.11907905340195,-0.36404156684875,-116.50930023193359,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000
1,1985403296,-0.11891697347164,-0.36523264646530,-116.50950622558594,0.02188494615257,-0.02335331402719,9.49106121063232,-0.60748004913330,3.40443944931030,0.29835462570190
2,1985411629,-0.11837886273861,-0.36610063910484,-116.50921630859375,0.01317485794425,-0.04275321960449,9.53735733032227,-0.56006813049316,3.43379330635071,0.34835362434387
3,1985419962,-0.11921490728855,-0.36565080285072,-116.50923156738281,0.02960083261132,-0.01656656898558,9.47559833526611,-0.72607380151749,3.60049033164978,0.31882038712502
4,1985428295,-0.11851646751165,-0.36492615938187,-116.50933074951172,0.04220050945878,-0.04627042636275,9.50570011138916,-0.54218930006027,3.62297964096069,0.30414342880249
5,1985436628,-0.11763776093721,-0.36529859900475,-116.50883483886719,0.01562897488475,-0.02630527503788,9.50679588317871,-0.51847052574158,3.50243949890137,0.37978225946426
6,1985444961,-0.11790481954813,-0.36454212665558,-116.50854492187500,0.02349146828055,-0.03364847972989,9.49194908142090,-0.65732532739639,3.62730860710144,0.35319465398788
7,1985453294,-0.11723595857620,-0.36496448516846,-116.50839996337891,0.02970011718571,-0.02385499514639,9.48443984985352,-0.54577535390854,3.49601030349731,0.33946549892426
8,1985461627,-0.11745227128267,-0.36474388837814,-116.50931549072266,0.01186912693083,-0.03116387128830,9.49927711486816,-0.65104991197586,3.56294035911560,0.21746487915516
9,1985469960,-0.11798796057701,-0.36528593301773,-116.50869750976562,0.01691677235067,-0.03808927536011,9.51879119873047,-0.68962496519089,3.48143577575684,0.39333221316338
10,1985478293,-0.11740983277559,-0.36567479372025,-116.50950622558594,0.02478350885212,-0.04014417156577,9.50505924224854,-0.55604666471481,3.49004220962524,0.23091234266758
11,1985486626,-0.11719082295895,-0.36498236656189,-116.51030731201172,0.01530009228736,-0.03386387974024,9.53524303436279,-0.60051292181015,3.62971615791321,0.22563581168652
12,1985494959,-0.11639733612537,-0.36443588137627,-116.51029968261719,0.04356783628464,-0.01982958242297,9.51457214355469,-0.52848565578461,3.60197544097900,0.32535195350647
13,1985503292,-0.11636482924223,-0.36433786153793,-116.51011657714844,0.02543421834707,-0.02631922438741,9.49772930145264,-0.62261801958084,3.55858564376831,0.34302580356598
14,1985511625,-0.11688521504402,-0.36446428298950,-116.51033782958984,0.05038632452488,-0.02258060686290,9.49993705749512,-0.68755018711090,3.52129173278809,0.30206868052483
15,1985519958,-0.11696687340736,-0.36456838250160,-116.51051330566406,0.00856357254088,-0.00870061386377,9.51298236846924,-0.63529706001282,3.53371453285217,0.30032691359520
16,1985528291,-0.11730216443539,-0.36418864130974,-116.51081848144531,0.02617561630905,-0.02932246960700,9.51627540588379,-0.66582918167114,3.58276510238647,0.28183338046074
