sep=,
DeviceTag:,Right Foot
FirmwareVersion:,2.4.0
AppVersion:,2022.0.0
StartTime: ,2023-06-27_13:36:40_000 CEST
© Xsens Technologies B. V. 2005-2023

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
0,1926822306,-0.10942205786705,-0.34955096244812,-116.62358093261719,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000
1,1926830639,-0.11012288182974,-0.34992071986198,-116.62281799316406,0.03650622442365,-0.03246183693409,9.52246570587158,-0.70603066682816,3.48582816123962,0.38878566026688
2,1926838972,-0.11005863547325,-0.35026347637177,-116.62268066406250,0.01851171627641,-0.02803244814277,9.51372051239014,-0.61848127841949,3.49884033203125,0.30746045708656
3,1926847305,-0.11009825021029,-0.34940367937088,-116.62243652343750,0.00968783814460,-0.02743816003203,9.52259731292725,-0.62683153152466,3.63346862792969,0.31527280807495
4,1926855638,-0.11000298708677,-0.34942442178726,-116.62210845947266,0.00678264675662,-0.02071875147521,9.51519107818604,-0.61463922262192,3.53713417053223,0.33161473274231
5,1926863971,-0.11064352095127,-0.35027369856834,-116.62231445312500,0.00392177700996,-0.02445401623845,9.49164390563965,-0.69975531101227,3.42904186248779,0.27382898330688
6,1926872304,-0.11133093386889,-0.35049501061440,-116.62285614013672,0.02301384508610,-0.02905262634158,9.46684169769287,-0.70918130874634,3.51362013816833,0.22457283735275
7,1926880637,-0.11174555122852,-0.35039040446281,-116.62283325195312,0.02722092345357,-0.03785376250744,9.52485179901123,-0.67247617244720,3.54246187210083,0.30425873398781
8,1926888970,-0.11182694882154,-0.35038888454437,-116.62235260009766,0.04157681763172,-0.05441260710359,9.50183677673340,-0.63554042577744,3.53972101211548,0.34977519512177
9,1926897303,-0.11156857013702,-0.34901553392410,-116.62245941162109,0.04150339961052,-0.03603536635637,9.52932643890381,-0.59099721908569,3.69635152816772,0.27088332176208
10,1926905636,-0.11162814497948,-0.34880387783051,-116.62231445312500,0.01287556532770,-0.03783342614770,9.50011444091797,-0.63395237922668,3.56510472297668,0.31066229939461
11,1926913969,-0.11145605891943,-0.34902039170265,-116.62288665771484,0.01249742135406,-0.02444525063038,9.47534275054932,-0.60272854566574,3.50532078742981,0.21612009406090
12,1926922302,-0.11112871766090,-0.34934350848198,-116.62220001220703,0.03409143909812,-0.03146593645215,9.48820972442627,-0.58559262752533,3.50135064125061,0.37439045310020
13,1926930635,-0.11176272481680,-0.34958094358444,-116.62207794189453,0.02338649705052,-0.02566041424870,9.51736831665039,-0.69919186830521,3.50101804733276,0.30538576841354
14,1926938968,-0.11133921146393,-0.35043457150459,-116.62235260009766,0.02614487707615,-0.02488761954010,9.51232624053955,-0.57539820671082,3.43749475479126,0.25894713401794
15,1926947301,-0.11158283054829,-0.34987863898277,-116.62112426757812,0.01666500233114,-0.03845661506057,9.50000953674316,-0.65126752853394,3.59686613082886,0.43166387081146
16,1926955634,-0.11098578572273,-0.34973815083504,-116.62031555175781,0.03547247499228,-0.03425569087267,9.50878143310547,-0.55311387777328,3.55667757987976,0.38919550180435
