Time,Gaze_Direction.x,Gaze_Direction.y,Gaze_Direction.z,Gaze_Origin.x,Gaze_Origin.y,Gaze_Origin.z,Head_Movement_Direction.x,Head_Movement_Direction.y,Head_Movement_Direction.z,Head_Velocity.x,Head_Velocity.y,Head_Velocity.z,Hit_Normal.x,Hit_Normal.y,Hit_Normal.z,Hit_Position.x,Hit_Position.y,Hit_Position.z,Cursor_Position.x,Cursor_Position.y,Cursor_Position.z
3.76,0.2652664,-0.2027034,0.9426267,-0.01077537,-0.01176019,0.02698021,-0.3313228,-0.3650807,0.7547742,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.5197574,-0.4171669,1.912233
3.78,0.2660202,-0.2036329,0.9422138,-0.01071584,-0.01172384,0.02669488,-0.3328099,-0.3663904,0.7652393,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.5213247,-0.4189897,1.911123
3.79,0.26673,-0.20451,0.9418231,-0.01065455,-0.01168066,0.02640307,-0.3342081,-0.3677128,0.7745458,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.5228055,-0.4207007,1.910049
3.81,0.2674093,-0.2053372,0.9414504,-0.01058949,-0.01164385,0.02610507,-0.3355446,-0.3690565,0.782803,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.5242292,-0.4223183,1.909006
3.82,0.268144,-0.2060063,0.9410952,-0.01058213,-0.01161598,0.02580647,-0.33683,-0.3704603,0.7900993,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.5257059,-0.4236286,1.907997
3.84,0.2688853,-0.2066562,0.9407412,-0.01056664,-0.01159702,0.025505,-0.3382331,-0.3719327,0.7964582,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.527204,-0.4249094,1.906987
3.86,0.2697015,-0.2073113,0.9403633,-0.0105831,-0.01158643,0.02520499,-0.3397326,-0.3735107,0.8019603,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.5288199,-0.4262091,1.905932
3.88,0.2705191,-0.2079848,0.9399797,-0.01059467,-0.01157469,0.02490484,-0.3414137,-0.3752019,0.8066447,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.5304436,-0.4275443,1.904864
3.89,0.271339,-0.2087696,0.9395693,-0.01060942,-0.01157318,0.02460961,-0.3432647,-0.3770034,0.8105872,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.5320687,-0.4291123,1.903748
3.91,0.2721429,-0.2095988,0.9391521,-0.01060563,-0.01157769,0.02431554,-0.3452643,-0.3789393,0.8138478,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.5336802,-0.4307753,1.90262
